Bulbasaur,0,0,1,0,0,0,1
Ivysaur,0,0,0,1,1,0,2
Venusaur,0,0,0,2,1,0,3
Charmander,0,0,0,0,0,1,1
Charmeleon,0,0,0,1,0,1,2
Charizard,0,0,0,3,0,0,3
Squirtle,0,0,1,0,0,0,1
Wartortle,0,0,1,0,1,0,2
Blastoise,0,0,0,0,3,0,3
Caterpie,1,0,0,0,0,0,1
Metapod,0,0,2,0,0,0,2
Butterfree,0,0,0,2,1,0,3
Weedle,0,0,0,0,0,1,1
Kakuna,0,0,2,0,0,0,2
Beedrill,0,2,0,0,1,0,3
Pidgey,0,0,0,0,0,1,1
Pidgeotto,0,0,0,0,0,2,2
Pidgeot,0,0,0,0,0,3,3
Rattata,0,0,0,0,0,1,1
Raticate,0,0,0,0,0,2,2
Spearow,0,0,0,0,0,1,1
Fearow,0,0,0,0,0,2,2
Ekans,0,1,0,0,0,0,1
Arbok,0,2,0,0,0,0,2
Pikachu,0,0,0,0,0,2,2
Raichu,0,0,0,0,0,3,3
Sandshrew,0,0,1,0,0,0,1
Sandslash,0,0,2,0,0,0,2
Nidoran(Female),1,0,0,0,0,0,1
Nidorina,2,0,0,0,0,0,2
Nidoqueen,3,0,0,0,0,0,3
Nidoran(Male),0,1,0,0,0,0,1
Nidorino,0,2,0,0,0,0,2
Nidoking,0,3,0,0,0,0,3
Clefairy,2,0,0,0,0,0,2
Clefable,3,0,0,0,0,0,3
Vulpix,0,0,0,0,0,1,1
Ninetales,0,0,0,0,1,1,2
Jigglypuff,2,0,0,0,0,0,2
Wigglytuff,3,0,0,0,0,0,3
Zubat,0,0,0,0,0,1,1
Golbat,0,0,0,0,0,2,2
Oddish,0,0,0,1,0,0,1
Gloom,0,0,0,2,0,0,2
Vileplume,0,0,0,3,0,0,3
Paras,0,1,0,0,0,0,1
Parasect,0,2,1,0,0,0,3
Venonat,0,0,0,0,1,0,1
Venomoth,0,0,0,1,0,1,2
Diglett,0,0,0,0,0,1,1
Dugtrio,0,0,0,0,0,2,2
Meowth,0,0,0,0,0,1,1
Persian,0,0,0,0,0,2,2
Psyduck,0,0,0,1,0,0,1
Golduck,0,0,0,2,0,0,2
Mankey,0,1,0,0,0,0,1
Primeape,0,2,0,0,0,0,2
Growlithe,0,1,0,0,0,0,1
Arcanine,0,2,0,0,0,0,2
Poliwag,0,0,0,0,0,1,1
Poliwhirl,0,0,0,0,0,2,2
Poliwrath,0,0,3,0,0,0,3
Abra,0,0,0,1,0,0,1
Kadabra,0,0,0,2,0,0,2
Alakazam,0,0,0,3,0,0,3
Machop,0,1,0,0,0,0,1
Machoke,0,1,0,0,0,0,1
Machamp,0,3,0,0,0,0,3
Bellsprout,0,1,0,0,0,0,1
Weepinbell,0,2,0,0,0,0,2
Victreebel,0,3,0,0,0,0,3
Tentacool,0,0,0,0,1,0,1
Tentacruel,0,0,0,0,2,0,2
Geodude,0,0,1,0,0,0,1
Graveler,0,0,2,0,0,0,2
Golem,0,0,3,0,0,0,3
Ponyta,0,0,0,0,0,1,1
Rapidash,0,0,0,0,0,2,2
Slowpoke,1,0,0,0,0,0,1
Slowbro,0,0,2,0,0,0,2
Magnemite,0,0,0,1,0,0,1
Magneton,0,0,0,2,0,0,2
Farfetch'd,0,1,0,0,0,0,1
Doduo,0,1,0,0,0,0,1
Dodrio,0,2,0,0,0,0,2
Seel,0,2,0,0,0,0,2
Dewgong,0,0,0,0,2,0,2
Grimer,1,0,0,0,0,0,1
Muk,1,1,0,0,0,0,2
Shellder,0,0,1,0,0,0,1
Cloyster,0,0,2,0,0,0,2
Gastly,0,0,0,1,0,0,1
Haunter,0,0,0,2,0,0,2
Gengar,0,0,0,3,0,0,3
Onix,0,0,1,0,0,0,1
Drowzee,0,0,0,0,1,0,1
Hypno,0,0,0,0,2,0,2
Krabby,0,1,0,0,0,0,1
Kingler,0,2,0,0,0,0,2
Voltorb,0,0,0,0,0,1,1
Electrode,0,0,0,0,0,2,2
Exeggcute,0,0,1,0,0,0,1
Exeggutor,0,0,0,2,0,0,2
Cubone,0,0,1,0,0,0,1
Marowak,0,0,2,0,0,0,2
Hitmonlee,0,2,0,0,0,0,2
Hitmonchan,0,0,0,0,2,0,2
Lickitung,2,0,0,0,0,0,2
Koffing,0,0,1,0,0,0,1
Weezing,0,0,2,0,0,0,2
Rhyhorn,0,0,1,0,0,0,1
Rhydon,0,2,0,0,0,0,2
Chansey,2,0,0,0,0,0,2
Tangela,0,0,1,0,0,0,1
Kangaskhan,2,0,0,0,0,0,2
Horsea,0,0,0,1,0,0,1
Seadra,0,0,1,1,0,0,2
Goldeen,0,1,0,0,0,0,1
Seaking,0,2,0,0,0,0,2
Staryu,0,0,0,0,0,1,1
Starmie,0,0,0,0,0,2,2
Mr.Mime,0,0,0,0,2,0,2
Scyther,0,1,0,0,0,0,1
Jynx,0,0,0,2,0,0,2
Electabuzz,0,0,0,0,0,2,2
Magmar,0,0,0,2,0,0,2
Pinsir,0,2,0,0,0,0,2
Tauros,0,1,0,0,0,1,2
Magikarp,0,0,0,0,0,1,1
Gyarados,0,2,0,0,0,0,2
Lapras,2,0,0,0,0,0,2
Ditto,1,0,0,0,0,0,1
Eevee,0,0,0,0,1,0,1
Vaporeon,2,0,0,0,0,0,2
Jolteon,0,0,0,0,0,2,2
Flareon,0,2,0,0,0,0,2
Porygon,0,0,0,1,0,0,1
Omanyte,0,0,1,0,0,0,1
Omastar,0,0,2,0,0,0,2
Kabuto,0,0,1,0,0,0,1
Kabutops,0,2,0,0,0,0,2
Aerodactyl,0,0,0,0,0,2,2
Snorlax,2,0,0,0,0,0,2
Articuno,0,0,0,0,3,0,3
